"Author","MinRating","MaxRating","MedRating","AvgRating"
"AlleyCatKing",424,424,424,424
"AlleyMoslof",549,549,549,549
"Alley_Skywalker",100,4461,441,766.652173913043
"AlliCassandra",388,388,388,388
"Allicorn",185,185,185,185
"Alliewren414",605,605,605,605
"Allise",991,111279,6890,20582.125
"AllisonWondrrland",2803,2803,2803,2803
"AllofReylo",143,143,143,143
"Alloret_Nkellen",171,425,298,298
"Allronix",459,1624,832.5,906.333333333333
"Allwalkfree",346,7450,3030.5,3364
"AllytheAce",140,140,140,140
"AlmightyAeneas",165,165,165,165
"Alonelily",3565,3565,3565,3565
"Alpaca_Amenala",142,1135,258,427.6
"AlphaTWolf2022",14,14,14,14
"Alpha_Chaos",25,25,25,25
"Alpha_Ionakana",281,281,281,281
"Alright_Anakin",966,3575,1428,1818.83333333333
"AlternateSequel",504,3026,1722,1750.66666666667
"Alterundying",15,15,15,15
"Althea_Draxus",439,439,439,439
"Altra_Realta",60,147,83,93.25
"Altrove",149,149,149,149
"Altruistic_Computer",37,37,37,37
"Altum_Videtur",1070,1070,1070,1070
"AlucardKnight668",90,168,129,129
"AluminumFoil",494,2634,1058.5,1308.83333333333
"Alunnanaria",816,816,816,816
"Alverrann",4958,34325,19641.5,19641.5
"AlwaysEverlark",870,870,870,870
"AlwaysInSonder",1235,9325,5280,5280
"Always_Dreaming",491,491,491,491
"Aly_H",175,876,379,426.571428571429
"Aly_moon",1522,1522,1522,1522
"Alyson_Metallium",470,1293,881.5,881.5
"AlyssAlenko",25,103,64,64
"Am17 (am17usb)",17,104,60.5,60.5
"Amalia Kensington (amaliak01)",3512,3512,3512,3512
"AmandaHuffleduck",317,317,317,317
"Amandaanime99",78,78,78,78
"Amaranthe (awildlokiappears)",236,926,581,581
"AmayaSong",1486,11134,6310,6310
"AmazingGraceless",3,1377,37,200.030303030303
"AmazingViola",38,38,38,38
"AmazonianQueen",501,501,501,501
"Amazonite",327,327,327,327
"AmberDread",111,3629,690,1186
"AmberOwl24",225,1002,507,520.9
"AmberSkye",201,201,201,201
"Amber_Brush",988,988,988,988
"Ambiguous_Salamander",593,593,593,593
"Ambitious_Rubbish",94,94,94,94
"Ambivalency",544,544,544,544
"Ambroshia",1932,26309,14644,14295
"Ambxon",5076,5076,5076,5076
"Ameera_Mae_Laramie",225,891,441,455.571428571429
"AmeliaStark (orphan_account)",955,955,955,955
"Amelia_Badguy",29,29,29,29
"Amemait",208,8745,579,2527.75
"AmericanLeader1776",10,171,17,66
"American_Punk_1990",588,588,588,588
"Americs",347,347,347,347
"Amerikita12",713,713,713,713
"Amethyst97Skye",1022,1022,1022,1022
"AmethystWinter",151,2995,1267,1453.28571428571
"Amethyst_Dawn",22,1714,586,774
"Amethyst_Molly",882,882,882,882
"Amicia98",19,298,122,117.47619047619
"AmidalasCouture",356,1424,1334,1038
"Amijentz",42,42,42,42
"Amilyn",224,1267,515,581.571428571429
"Amintayoung (Amintadefender)",1390,1390,1390,1390
"Amira_Roselle",1209,1209,1209,1209
"Amiril",6846,6846,6846,6846
"AmoraRisa",759,4519,3499,2925.66666666667
"Amoreusou",25,421,54.5,138.75
"Amrita_Vein",129,369,356,284.666666666667
"Amy (orphan_account)",212,212,212,212
"AmyPound",2475,2475,2475,2475
"Amylion",731,731,731,731
"AnCarlie",991,991,991,991
"AnInformant",13,13,13,13
