Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits
The Bad Batch Headcanons,Vox_CT_0930 (fynneas_k),45679354,12 Mar 2023,General Audiences,No category,No Archive Warnings Apply,Work in Progress,English,588,2,0,7,0,134
Omega Master of the Jedi Order,Hilimi,39242880,12 Mar 2023,General Audiences,"F/M, M/M",No Archive Warnings Apply,Work in Progress,English,"8,832",7,29,197,26,2642
Kanan's Difficult Morning,NotNecessarilyInThatOrder,40851915,12 Mar 2023,General Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"17,674",8,48,81,11,1690
Across The Galaxy,Greencharacters,45377995,12 Mar 2023,General Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"26,148",9,60,16,4,334
soup,burningallofmybridges,45698728,12 Mar 2023,General Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,"5,168",1,3,14,1,195
very important sick person,ParkerD17,45698221,12 Mar 2023,General Audiences,"F/M, M/M",No Archive Warnings Apply,Complete Work,English,"1,248",1,0,16,0,143
Shelter from the Storm,GunRoswell (GunRoswall),45698104,12 Mar 2023,General Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,"1,961",1,1,3,0,17
A reason to fight,MandoGab,45690451,12 Mar 2023,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,843,1,1,5,0,61
Sacrifice,Bloopy42,45696514,12 Mar 2023,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,998",1,0,4,0,24
The Way and Forgiveness,RedfieldFamilyFan24,45696460,12 Mar 2023,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"2,635",1,0,10,0,234
This Is Not A Story - That Soulmates Fic I Won't Be Writing,SCWLC,45696313,12 Mar 2023,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,"2,047",1,12,38,4,189
When Clone Troopers Talk,Wishuponaduck,45647194,12 Mar 2023,General Audiences,No category,No Archive Warnings Apply,Complete Work,English,"1,159",3,4,29,1,189
BobaDin and Grogu’s adventure in the snow,Eggtoddy,45694504,12 Mar 2023,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,210",1,1,32,4,178
Secret Escape,BellaGriffin,45694501,12 Mar 2023,General Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"1,486",1,5,25,3,272
Through the Years,Pathetic_Life_Form (Laurelindorenan),45503122,12 Mar 2023,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"11,182",5,35,60,8,876
Villain,Fishykarp,45693922,12 Mar 2023,General Audiences,No category,No Archive Warnings Apply,Work in Progress,English,480,1,0,0,0,2
held like a dream,abp,45693646,12 Mar 2023,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,211",1,5,172,16,745
[Podfic of] Made a Promise,kbirb pods (kbirb),45678406,12 Mar 2023,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,41,1,1,1,0,13
“Hey…”,AlamoGirl80,45691225,12 Mar 2023,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,0,1,20,26,3,101
Knee-deep in Trouble,NEON_JUNKIE,45690790,12 Mar 2023,General Audiences,"F/M, M/M, Other",No Archive Warnings Apply,Complete Work,English,"2,665",1,2,42,1,235
"Senators, Soldiers and Civilians",Alium_Artifex,45689161,12 Mar 2023,General Audiences,Multi,No Archive Warnings Apply,Work in Progress,English,"1,099",1,0,20,2,260
Star Wars: The Friend Of My Enemy (Legends) FanFic,glensalvorson,45676279,12 Mar 2023,General Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"34,111",18,0,1,0,30
What's In a Name?,brightestorangedawn,45688117,12 Mar 2023,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,550",1,1,25,3,170
Kneading,Threebea O (ThreeBea),33336877,12 Mar 2023,General Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"82,856",25,1639,3738,1007,79794
"Once in a thousand lifetimes, this opportunity comes",Lea_Angels,45723241,12 Mar 2023,General Audiences,Multi,Choose Not To Use Archive Warnings,Complete Work,English,"1,365",1,6,35,9,132
The Way of Conquest,pagination,38850561,12 Mar 2023,General Audiences,Gen,Major Character Death,Complete Work,English,"32,543",8,1194,5062,1989,59633
