Work ID,Warnings,Relationships,Characters,Other
44887441,No Archive Warnings Apply,,"Hunter (Star Wars: The Bad Batch), Tech (Star Wars: The Bad Batch), CT-21-0408 | CT-1409 | Echo, Wrecker (Star Wars: The Bad Batch), Crosshair (Star Wars: The Bad Batch), Omega (Star Wars: The Bad Batch), Cid (Star Wars: The Bad Batch), Original Characters",
45701983,No Archive Warnings Apply,CT-9904 | Crosshair/Reader,"Crosshair (Star Wars: The Bad Batch), Reader","Fluff, Sickfic, Cuddling & Snuggling"
45724666,No Archive Warnings Apply,Cassian Andor & Ruescott Melshi,"Ruescott Melshi, Cassian Andor","Angst, Angst and Hurt/Comfort, Post-Escape From Narkina 5 Imperial Prison Complex (Star Wars: Andor TV), Hurt/Comfort, Emotional Hurt/Comfort, Sick Ruescott Melshi, that needs to be a tag, Starvation, Canon-Typical Imperial Human Rights Abuses, Ruescott Melshi Needs a Hug, he gets one, CW: mention of vomit, Aftermath of Torture, (Because Narkina 5 was Torture), Cassian Andor is a Good Bro, The Author is Hopelessly Self-Indulgent, No Beta We Die Like Most of The Prisoners"
45677524,Creator Chose Not To Use Archive Warnings,CT-9904 | Crosshair & Clone Commander Mayday,"Crosshair (Star Wars: The Bad Batch), Clone Commander Mayday (Star Wars), Hunter (Star Wars: The Bad Batch), Tech (Star Wars: The Bad Batch), Wrecker (Star Wars: The Bad Batch), Omega (Star Wars: The Bad Batch), CC-2224 | Cody","Crosshair Needs a Hug (Star Wars: The Bad Batch), Protective Crosshair (Star Wars: The Bad Batch), Soft Crosshair (Star Wars: The Bad Batch), Clone Commander Mayday Lives (Star Wars), Angst and Hurt/Comfort, Fix-It, Episode: s02e12 The Outpost (Star Wars: The Bad Batch)"
45129496,No Archive Warnings Apply,CC-2224 | Cody/Obi-Wan Kenobi,"CC-2224 | Cody, Obi-Wan Kenobi, CT-7567 | Rex","Mind Control Aftermath & Recovery, Post-Order 66 (Star Wars)"
45722707,"Graphic Depictions Of Violence, Major Character Death",Reylo,"Rey (Star Wars), Ben Solo | Kylo Ren","Reylo AU Week 2018, Facebook: Reylo Fic Recs, Reylo Readers & Writers' Fall Event 2021, Beauty and the Beast Elements, Alternate Universe - Beauty and the Beast Fusion"
45722104,No Archive Warnings Apply,"Éowyn/Faramir (Son of Denethor II), Leia Organa/Han Solo","Éowyn (Tolkien), Faramir (Son of Denethor II), Leia Organa, Han Solo","Character Study, Double Character Study, Parallels, Healing, Despair and Hope, Salt and Light, Eowyn/Faramir has a few key things in common with Leia/Han, Characters with a deathwish, It doesn't last though"
45697447,No Archive Warnings Apply,Obi-Wan Kenobi & Anakin Skywalker,"Anakin Skywalker, Obi-Wan Kenobi, Ahsoka Tano, Vokara Che","Hurt/Comfort, Emotional Hurt/Comfort, Post-Rako Hardeen Arc (Star Wars: Clone Wars), Hurt Anakin Skywalker, Anakin Skywalker Needs a Hug, Obi-Wan Kenobi Needs a Hug, Human Lightning Rod Anakin Skywalker, Amnesia, Head Injury, anakin's many varied heart issues, Forgiveness is the Name of the Game, Anakin Skywalker Whump, Angst, Fix-It of Sorts, we got attachments so suck it"
45697468,No Archive Warnings Apply,"Darth Sidious & Darth Vader, Obi-Wan Kenobi & Darth Vader (minor)","Darth Vader, Darth Sidious","Darth Vader Needs a Hug, POV Darth Vader, Canon Compliant, Sheev Palpatine | Darth Sidious Being an Asshole, Mentioned Obi-Wan Kenobi, Angst, Hurt No Comfort, Unhappy Ending, Darth Vader Deserves Better, Torture, Medical Torture, Slave Darth Vader, Whump"
34703938,No Archive Warnings Apply,"Obi-Wan Kenobi & Anakin Skywalker, Anakin Skywalker & Ahsoka Tano, Obi-Wan Kenobi & Original Male Character(s), Anakin Skywalker & Original Male Character(s), Ahsoka Tano & Original Male Character(s), Obi-Wan Kenobi & Ahsoka Tano, Ahsoka Tano/Original Male Character(s) (minor), Lux Bonteri/Ahsoka Tano (minor), Padmé Amidala/Anakin Skywalker (background), Obi-Wan Kenobi/Satine Kryze (Past), Revan (Star Wars) & Original Male Character(s), Pre Vizsla & Original Male Character(s) (minor), Bo-Katan Kryze/Original Male Character(s), Ezra Bridger & Kanan Jarrus, Ezra Bridger & Sabine Wren, Obi-Wan Kenobi & Darth Vader, Ahsoka Tano & Darth Vader, Darth Vader & Original Male Character(s)","Anakin Skywalker, Obi-Wan Kenobi, Ahsoka Tano, Yoda (Star Wars), Original Characters, Theseus Shan - Original Male Character, Athea Shan - Original Female Character, CT-7567 | Rex, CC-2224 | Cody, Mace Windu (Minor), Padme Amidala (minor), Satine Kryze, Bo-Katan Kryze, Pre Vizsla, Revan (Star Wars), The Son | Fanged God (minor), Kanan Jarrus, Darth Maul, Hera Syndulla, Sabine Wren, Ezra Bridger, Garazeb ""Zeb"" Orrelios, Vizma Vizsla - Original Female Character, Anastasia Vizsla - Original Female Character, Darth Vader","Angst, Hurt/Comfort, Adventure, Friendship, Family, Romance, Drama & Romance, Alternate Universe - Canon Divergence, Master & Padawan Relationship(s), Obi-Wan Kenobi & Anakin Skywalker Friendship, Obi-Wan Kenobi is Anakin Skywalker's Parent, Anakin Skywalker & Ahsoka Tano Friendship, Anakin Skywalker & Ahsoka Tano Are Siblings, Planet Mandalore (Star Wars), Eventual Happy Ending, Not A Fix-It, Anakin Skywalker Needs a Hug, Obi-Wan Kenobi Needs a Hug, Ahsoka Tano Needs a Hug, Anakin Skywalker Needs Therapy, Protective Anakin Skywalker, Protective Ahsoka Tano, Human Disaster Anakin Skywalker, Darth Vader Needs a Hug, Star Wars: Obi-Wan Kenobi TV Spoilers, Darth Vader Redemption, Mandalorian Culture (Star Wars), Accidental Mandalorian Darksaber Acquisition (Star Wars)"
