Author,Min_Word_count,Max_Word_count,Avg_Word_count,Min_Paragraph_Count,Max_Paragraph_Count,Avg_Paragraph_Count
Alius_Neo,2277,2277,2277.0,1,1,1.0
AlixParker23,2822,2822,2822.0,1,1,1.0
Aliz_aLiz_alIz_aliZ,14076,14076,14076.0,3,3,3.0
Alizeya,111,111,111.0,1,1,1.0
AllAreLies,31,31,31.0,1,1,1.0
AllClonesNeedKisses,439,974,706.5,1,1,1.0
AllDemApples,1178,1178,1178.0,1,1,1.0
AllHailThe_GlowCloud,11061,11061,11061.0,8,8,8.0
AllKnightForever,1866,1866,1866.0,1,1,1.0
AllNightDraw,5038,5038,5038.0,1,1,1.0
AllOfThisMatter,707,707,707.0,1,1,1.0
AllTheFandoms96,1545,1545,1545.0,1,1,1.0
AllTheWayMae,14919,4733,8052.333333333333,1,4,2.0
AllThroughWinter,1342,2401,1748.0,1,1,1.0
All_Hail_Reylo (McDanno50),1536,1536,1536.0,1,1,1.0
AllaboutFinn (Savoury_Jelly),1320,4280,2735.0,1,1,1.0
Allatariel,1187,2561,1874.0,1,1,1.0
Alle__Panda,1652,664,1904.5,1,1,1.0
Allegory,15,15,15.0,2,2,2.0
AllessaRen2198,13493,138,6815.5,1,25,13.0
AlleyCatKing,788,788,788.0,1,1,1.0
AlleyMoslof,789,789,789.0,1,1,1.0
Alley_Skywalker,1075,936,1197.9565217391305,1,1,1.0
AlliCassandra,959,959,959.0,1,1,1.0
Allicorn,766,766,766.0,1,1,1.0
Alliewren414,236,236,236.0,1,1,1.0
Allise,1392,811,9632.75,1,22,3.75
AllisonWondrrland,67081,67081,67081.0,34,34,34.0
AllofReylo,1371,1371,1371.0,2,2,2.0
Alloret_Nkellen,1533,310,921.5,1,1,1.0
Allronix,1923,6000,3333.5,1,6,3.3333333333333335
Allwalkfree,1105,4331,1961.1666666666667,1,2,1.1666666666666667
AllytheAce,257,257,257.0,1,1,1.0
AlmightyAeneas,3209,3209,3209.0,1,1,1.0
Alonelily,15221,15221,15221.0,4,4,4.0
Alpaca_Amenala,1089,713,1572.2,1,1,1.0
AlphaTWolf2022,1888,1888,1888.0,8,8,8.0
Alpha_Chaos,2207,2207,2207.0,1,1,1.0
Alpha_Ionakana,4960,4960,4960.0,1,1,1.0
Alright_Anakin,1187,6797,4420.166666666667,1,1,1.0
AlternateSequel,10292,5316,5632.333333333333,1,8,4.333333333333333
Alterundying,682,682,682.0,1,1,1.0
Althea_Draxus,931,931,931.0,1,1,1.0
Altra_Realta,2678,779,1205.75,1,1,1.0
Altrove,7270,7270,7270.0,5,5,5.0
Altruistic_Computer,7616,7616,7616.0,12,12,12.0
Altum_Videtur,656,656,656.0,1,1,1.0
AlucardKnight668,1386,4569,2977.5,1,1,1.0
AluminumFoil,0,735,811.5,1,1,1.0
Alunnanaria,540,540,540.0,1,1,1.0
Alverrann,14020,27728,20874.0,12,5,8.5
AlwaysEverlark,1208,1208,1208.0,1,1,1.0
AlwaysInSonder,10172,1178,5675.0,1,6,3.5
Always_Dreaming,14020,14020,14020.0,9,9,9.0
Aly_H,1254,760,1393.2857142857142,1,5,1.5714285714285714
Aly_moon,541,541,541.0,1,1,1.0
Alyson_Metallium,1576,526,1051.0,1,1,1.0
AlyssAlenko,857,926,891.5,1,1,1.0
Am17 (am17usb),1518,1568,1543.0,1,1,1.0
Amalia Kensington (amaliak01),1190,1190,1190.0,1,1,1.0
AmandaHuffleduck,2481,2481,2481.0,1,1,1.0
Amandaanime99,1605,1605,1605.0,1,1,1.0
Amaranthe (awildlokiappears),1831,4367,3099.0,1,1,1.0
AmayaSong,1033,307,670.0,1,1,1.0
AmazingGraceless,1001,9651,6578.060606060606,1,8,5.696969696969697
AmazingViola,1661,1661,1661.0,1,1,1.0
AmazonianQueen,5853,5853,5853.0,31,31,31.0
Amazonite,284,284,284.0,1,1,1.0
AmberDread,2439,9602,3368.8,1,3,1.4
AmberOwl24,1000,594,3747.2,1,7,1.6
AmberSkye,1229,1229,1229.0,1,1,1.0
Amber_Brush,690,690,690.0,2,2,2.0
Ambiguous_Salamander,1772,1772,1772.0,1,1,1.0
Ambitious_Rubbish,870,870,870.0,1,1,1.0
Ambivalency,569,569,569.0,1,1,1.0
Ambroshia,1671,65867,31622.333333333332,1,23,12.0
Ambxon,6092,6092,6092.0,1,1,1.0
Ameera_Mae_Laramie,1243,5247,4715.142857142857,1,7,2.0
AmeliaStark (orphan_account),424,424,424.0,1,1,1.0
Amelia_Badguy,760,760,760.0,1,1,1.0
Amemait,1319,52,477.25,1,1,1.0
AmericanLeader1776,1062,621,613.6666666666666,1,1,1.0
American_Punk_1990,2083,2083,2083.0,1,1,1.0
Americs,224,224,224.0,1,1,1.0
Amerikita12,8210,8210,8210.0,2,2,2.0
Amethyst97Skye,598,598,598.0,1,1,1.0
AmethystWinter,1255,9805,4654.571428571428,1,2,1.5714285714285714
Amethyst_Dawn,11721,649,4725.0,1,4,2.0
Amethyst_Molly,9184,9184,9184.0,5,5,5.0
Amicia98,110,292,186.04761904761904,1,1,1.0
AmidalasCouture,1664,3017,2254.0,1,1,1.0
Amijentz,532,532,532.0,1,1,1.0
Amilyn,1212,894,2081.5714285714284,1,8,2.142857142857143
Amintayoung (Amintadefender),1905,1905,1905.0,1,1,1.0
Amira_Roselle,9489,9489,9489.0,5,5,5.0
Amiril,0,0,0.0,1,1,1.0
AmoraRisa,2115,6417,3896.0,1,4,2.0
Amoreusou,1008,1764,4218.0,1,1,1.0
Amrita_Vein,117,169,100.33333333333333,1,1,1.0
Amy (orphan_account),485,485,485.0,1,1,1.0
AmyPound,2221,2221,2221.0,1,1,1.0
Amylion,1932,1932,1932.0,1,1,1.0
AnCarlie,2069,2069,2069.0,1,1,1.0
AnInformant,2086,2086,2086.0,1,1,1.0
AnStarWar (ArtemisSol),0,0,0.0,1,1,1.0
An_Abudance_Of_Stories,208,208,208.0,1,1,1.0
An_Optimist_Prime,879,879,879.0,1,1,1.0
An_R,8122,8122,8122.0,1,1,1.0
AnaBolyn,1159,1159,1159.0,1,1,1.0
AnaMariaApostol,1024,5264,3173.3333333333335,3,6,4.0
AnakinBiwalker,167,825,434.5,1,3,1.5
