mockspeed,CC-2224 ,Cody,Cody/Obi-Wan Kenobi
dindjarinsgf,Hunter & Omega (Star Wars: The Bad Batch)Hunter (Star Wars: The Bad Batch),Omega (Star Wars: The Bad Batch),Nala SeBaby Hunter - Freeform
apathetic_but_passionate,CT-9904 ,Crosshair & Clone Commander Mayday,Crosshair & Clone Trooper Hunter & Clone Trooper Tech & Clone Trooper Wrecker
Baz,Chewbacca (Star Wars),nanLuke Skywalker,Han Solo
iamthewanderersdaughter,nanClone Trooper Hawk (Star Wars),CT-7567 ,Rex
nobody_expects_the_inquisitorius,Grand Inquisitor & Original Female Character(s)Grand Inquisitor (Star Wars),Original Imperial Characters (Star Wars),Original Female Character(s)
WalkAwayTall,Leia Organa & Luke Skywalker & Han Solo,Leia Organa/Han SoloLeia Organa,Han Solo
Han_solos_husband,Jones,Han Solo,Lando Calrissian
The_Kittylorian (Carasynthia_Lune),Baby Yoda,Grogu ,Din Djarin & Grogu 
Redtiger,nanHarry Potter,Ginny Weasley,Clone Troopers (Star Wars)
XarisEirene,Kylo Ren,Rey/Ben Solo ,Rey & Luke SkywalkerRey (Star Wars)
Sarlydro,Anakin Skywalker & Luke SkywalkerLuke Skywalker,Anakin Skywalker ,Darth Vader
Tsukary,CT-1409 ,Crosshair (Star Wars: The Bad Batch)/Original Character(s),Crosshair & Omega (Star Wars: The Bad Batch)
Coline7373,CC-2224 ,Cody,Cody & Obi-Wan Kenobi
thenerduniverse,Padmé Amidala,Luke Skywalker,baby leia
Hostiles_on_the_hill,Luke Skywalker/Reader,Luke Skywalker/YouShaak Ti,Obi-Wan Kenobi
DarthJin,Obi-Wan Kenobi & Anakin Skywalker,Padmé Amidala/Anakin SkywalkerObi-Wan Kenobi,Anakin Skywalker
Scyfymom13,Kylo Ren,Rey/Ben Solo ,Kylo Ren/Rey
FantasyFreak_2,CC-2224 ,CT-7567 ,Obi-Wan Kenobi Needs a Hug
speakofthedevil,CT-7567 ,Fluff,Anakin Skywalker & Ahsoka Tano
LovesLaboursFound,CT-9904 ,Crosshair/Mayday (Star Wars: The Bad Batch)Crosshair (Star Wars: The Bad Batch),Mayday (Star Wars: The Bad Batch)Blizzards & Snowstorms
BeccaBooks,CT-1409 ,CT-21-0408 ,Echo
Ahdoka99,CT-7567 ,nanAhsoka Tano,Rex
Scoby,Adonai Kryze & Bo-Katan Kryze,Bo-Katan Kryze & Satine KryzeBo-Katan Kryze,Adonai Kryze
Umbrae Storm (Goldengirl01),Anakin Skywalker & Shmi Skywalker,Qui-Gon Jinn & Obi-Wan Kenobi,Anakin Skywalker & Reader
eurusholmmes,CT-6116 ,Kix,Kix & Bo-Katan KryzeBo-Katan Kryze
Captastra,Cassian Andor/Jyn ErsoJyn Erso,Cassian Andor,Chirrut Îmwe
JordannaMorgan,Din Djarin & Grogu ,Baby Yoda,Din Djarin & Peli Motto
maarvehl,CT-7567 ,Leia Organa & Luke Skywalker,Leia Organa & Ahsoka Tano
raetoricalquestions,Padmé Amidala/Anakin Skywalker,Padmé Amidala & SabéPadmé Amidala,Anakin Skywalker
AuthorToBeNamedLater,Din Djarin & Bo-Katan Kryze,Din Djarin/Bo-Katan KryzeDin Djarin,Bo-Katan KryzePre-Relationship
ReyAndor19,Rose Tico,Kaydel Ko Connix,Nimi Chireen
foreverchangingfandoms,CC-2224 ,Cody,Cody/Obi-Wan KenobiCC-2224 
JediCakes08,Orrelios,Thrawn ,Mitth'raw'nuruodoPrincess Ashoka
