"","author","total_posts","avg_posts_year","avg_posts_month","avg_posts_week","min_rating","max_rating","med_rating","avg_rating","min_word_count","max_word_count","avg_word_count","min_paragraph_count","max_paragraph_count","avg_paragraph_count","tag1","tag2","tag3","log_avg_rating"
"7708","kommanderkenobi",2,1,1,1,134,844,489,489,1116,5457,3286.5,1,2,1.5,NA,NA,NA,6.19236248947487
"7709","KomodoClassic",1,1,1,1,143,143,143,143,1266,1266,1266,1,1,1,NA,NA,NA,4.96284463025991
"7710","konfoz",2,1,1,1,2557,2614,2585.5,2585.5,1517,3942,2729.5,1,1,1,NA,NA,NA,7.85767419183628
"7711","könighux (calmyourmind)",3,3,3,1,483,1097,954,844.666666666667,125,38,171.666666666667,1,2,1.33333333333333,NA,NA,NA,6.73894207221297
"7712","KonohanaShuffle",2,1,1,1,91,176,151,139.333333333333,3540,890,2673.33333333333,1,1,1,NA,NA,NA,4.93686914385664
"7713","KoofinsArchive",1,1,1,1,86,86,86,86,1040,1040,1040,1,1,1,NA,NA,NA,4.45434729625351
"7714","KoolAid_8108",2,1,1,1,285,919,602,602,2417,402,1409.5,1,3,2,NA,NA,NA,6.40025744530882
"7715","KoolaidCrow",4,4,4,1,523,1735,1041.5,1114.83333333333,1224,3019,2269,1,1,1,NA,NA,NA,7.01646019589035
"7716","kooperfan",1,1,1,1,4257,4257,4257,4257,979,979,979,1,1,1,NA,NA,NA,8.35631996582815
"7717","Kooriicolada",1,1,1,1,35353,35353,35353,35353,3548,3548,3548,1,1,1,NA,NA,NA,10.4731385333533
"7718","Koprix",1,1,1,1,329,329,329,329,1909,1909,1909,1,1,1,NA,NA,NA,5.79605775076537
"7719","korechthonia",2,2,2,1,9,188,173,123.333333333333,14,39,26.3333333333333,1,1,1,"Podfic","Cody","Padmé Amidala/Jango Fett/Obi-Wan Kenobi",4.81489071697016
